name,type,id,url,sales,dates,classifications,promoters,info,pleaseNote,priceRanges,seatmap,accessibility,ticketLimit,ageRestrictions,ticketing,_links
U2:UV Achtung Baby Live At Sphere - General Admission Floor,event,G5vjZ9VY7qzV_,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-03-2024/event/17005F4C04778D19,"{'public': {'startDateTime': '2023-10-25T19:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-04T05:00:00Z'}}","{'start': {'localDate': '2024-02-03', 'localTime': '20:00:00', 'dateTime': '2024-02-04T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.","The artist wants to give fans, not scalpers, the best chance to buy tickets at face value. If you purchase tickets and can't attend, you'll have the option to resell your tickets to other fans at the original price paid on Ticketmaster's Face Value Exchange. Please note, tickets to these events are mobile only and restricted from transfer. A valid bank account or debit card within the country of this event is required to sell on the Face Value Exchange.","[{'type': 'standard', 'currency': 'USD', 'min': 195.0, 'max': 195.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C04778D19/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7qzV_?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - General Admission Floor,event,G5vjZ9VY7mIVs,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-17-2024/event/17005F4C04BA8D31,"{'public': {'startDateTime': '2023-10-25T21:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-18T05:00:00Z'}}","{'start': {'localDate': '2024-02-17', 'localTime': '20:00:00', 'dateTime': '2024-02-18T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.","The artist wants to give fans, not scalpers, the best chance to buy tickets at face value. If you purchase tickets and can't attend, you'll have the option to resell your tickets to other fans at the original price paid on Ticketmaster's Face Value Exchange. Please note, tickets to these events are mobile only and restricted from transfer. A valid bank account or debit card within the country of this event is required to sell on the Face Value Exchange.","[{'type': 'standard', 'currency': 'USD', 'min': 195.0, 'max': 195.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C04BA8D31/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7mIVs?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - General Admission Floor,event,G5vjZ9VY7hFV4,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-02-2024/event/17005F4C046C8D15,"{'public': {'startDateTime': '2023-10-25T19:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-03T05:00:00Z'}}","{'start': {'localDate': '2024-02-02', 'localTime': '20:00:00', 'dateTime': '2024-02-03T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.","The artist wants to give fans, not scalpers, the best chance to buy tickets at face value. If you purchase tickets and can't attend, you'll have the option to resell your tickets to other fans at the original price paid on Ticketmaster's Face Value Exchange. Please note, tickets to these events are mobile only and restricted from transfer. A valid bank account or debit card within the country of this event is required to sell on the Face Value Exchange.","[{'type': 'standard', 'currency': 'USD', 'min': 195.0, 'max': 195.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C046C8D15/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7hFV4?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - General Admission Floor,event,G5vjZ9VY7sbVg,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-18-2024/event/17005F4C04C58D35,"{'public': {'startDateTime': '2023-10-25T21:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-19T05:00:00Z'}}","{'start': {'localDate': '2024-02-18', 'localTime': '20:00:00', 'dateTime': '2024-02-19T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.","The artist wants to give fans, not scalpers, the best chance to buy tickets at face value. If you purchase tickets and can't attend, you'll have the option to resell your tickets to other fans at the original price paid on Ticketmaster's Face Value Exchange. Please note, tickets to these events are mobile only and restricted from transfer. A valid bank account or debit card within the country of this event is required to sell on the Face Value Exchange.","[{'type': 'standard', 'currency': 'USD', 'min': 195.0, 'max': 195.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C04C58D35/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7sbVg?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - General Admission Floor,event,G5vjZ9USRXUxo,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-03-02-2024/event/17005F6CEFFB6891,"{'public': {'startDateTime': '2023-12-08T20:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-03-03T05:00:00Z'}}","{'start': {'localDate': '2024-03-02', 'localTime': '20:00:00', 'dateTime': '2024-03-03T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.","[{'type': 'standard', 'currency': 'USD', 'min': 195.0, 'max': 195.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F6CEFFB6891/staticImage?type=png&systemId=HOST'},{},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9USRXUxo?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - General Admission Floor,event,G5vjZ9VY7JbVt,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-10-2024/event/17005F4C04998D29,"{'public': {'startDateTime': '2023-10-25T20:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-11T05:00:00Z'}}","{'start': {'localDate': '2024-02-10', 'localTime': '20:00:00', 'dateTime': '2024-02-11T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.","The artist wants to give fans, not scalpers, the best chance to buy tickets at face value. If you purchase tickets and can't attend, you'll have the option to resell your tickets to other fans at the original price paid on Ticketmaster's Face Value Exchange. Please note, tickets to these events are mobile only and restricted from transfer. A valid bank account or debit card within the country of this event is required to sell on the Face Value Exchange.","[{'type': 'standard', 'currency': 'USD', 'min': 195.0, 'max': 195.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C04998D29/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7JbVt?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - General Admission Floor,event,G5vjZ9VY7lIVc,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-15-2024/event/17005F4C04AE8D2D,"{'public': {'startDateTime': '2023-10-25T21:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-16T05:00:00Z'}}","{'start': {'localDate': '2024-02-15', 'localTime': '20:00:00', 'dateTime': '2024-02-16T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.","The artist wants to give fans, not scalpers, the best chance to buy tickets at face value. If you purchase tickets and can't attend, you'll have the option to resell your tickets to other fans at the original price paid on Ticketmaster's Face Value Exchange. Please note, tickets to these events are mobile only and restricted from transfer. A valid bank account or debit card within the country of this event is required to sell on the Face Value Exchange.","[{'type': 'standard', 'currency': 'USD', 'min': 195.0, 'max': 195.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C04AE8D2D/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7lIVc?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - Reserved Seating,event,G5vjZ9VY7_IVK,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-02-2024/event/17005F4C04668D13,"{'public': {'startDateTime': '2023-10-25T19:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-03T05:00:00Z'}}","{'start': {'localDate': '2024-02-02', 'localTime': '20:00:00', 'dateTime': '2024-02-03T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.",,"[{'type': 'standard', 'currency': 'USD', 'min': 95.0, 'max': 375.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C04668D13/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7_IVK?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - Reserved Seating,event,G5vjZ9VY7jzV9,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-03-2024/event/17005F4C04738D17,"{'public': {'startDateTime': '2023-10-25T19:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-04T05:00:00Z'}}","{'start': {'localDate': '2024-02-03', 'localTime': '20:00:00', 'dateTime': '2024-02-04T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.",,"[{'type': 'standard', 'currency': 'USD', 'min': 95.0, 'max': 375.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C04738D17/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7jzV9?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
U2:UV Achtung Baby Live At Sphere - Reserved Seating,event,G5vjZ9VY7LbVh,https://www.ticketmaster.com/u2uv-achtung-baby-live-at-sphere-las-vegas-nevada-02-07-2024/event/17005F4C047D8D1B,"{'public': {'startDateTime': '2023-10-25T20:00:00Z', 'startTBD': False, 'startTBA': False, 'endDateTime': '2024-02-08T05:00:00Z'}}","{'start': {'localDate': '2024-02-07', 'localTime': '20:00:00', 'dateTime': '2024-02-08T04:00:00Z', 'dateTBD': False, 'dateTBA': False, 'timeTBA': False, 'noSpecificTime': False}, 'timezone': 'America/Los_Angeles', 'status': {'code': 'onsale'}, 'spanMultipleDays': False}","[{'primary': True, 'segment': {'id': 'KZFzniwnSyZfZ7v7nJ', 'name': 'Music'}, 'genre': {'id': 'KnvZfZ7vAeA', 'name': 'Rock'}, 'subGenre': {'id': 'KZazBEonSMnZfZ7v6F1', 'name': 'Pop'}, 'type': {'id': 'KZAyXgnZfZ7v7nI', 'name': 'Undefined'}, 'subType': {'id': 'KZFzBErXgnZfZ7v7lJ', 'name': 'Undefined'}, 'family': False}]","[{'id': '653', 'name': 'LIVE NATION MUSIC', 'description': 'LIVE NATION MUSIC / NTL / USA'}, {'id': '494', 'name': 'PROMOTED BY VENUE', 'description': 'PROMOTED BY VENUE / NTL / USA'}]","This event may include immersive elements such as seat haptics, movement sensations, flashing lights, intense lighting, visual effects, loud noises, and atmospheric simulations. Such elements may aggravate certain medical or physical conditions, and guests should take into consideration these elements, including if they have a history of discomfort or physical symptoms when experiencing them. Visit the Sphere FAQs here and the U2 event page on thespherevegas.com closer to your event date for the latest event information.",,"[{'type': 'standard', 'currency': 'USD', 'min': 95.0, 'max': 375.0}]",{'staticUrl': 'https://maps.ticketmaster.com/maps/geometry/3/event/17005F4C047D8D1B/staticImage?type=png&systemId=HOST'},{'ticketLimit': 4},{'info': 'There is a ticket limit of four (4) for this event.'},{'legalAgeEnforced': False},"{'safeTix': {'enabled': True}, 'allInclusivePricing': {'enabled': True}}","{'self': {'href': '/discovery/v2/events/G5vjZ9VY7LbVh?locale=en-us'}, 'attractions': [{'href': '/discovery/v2/attractions/K8vZ91712W7?locale=en-us'}], 'venues': [{'href': '/discovery/v2/venues/KovZ917Atbr?locale=en-us'}]}"
